Seconds,R_Time,Depth,Lat,Long,Resp_Num,Sleep_Num,Stroke_Rate,Heart_Rate,heading,pitch,roll
407513,2021-04-25 11:14:03,0.628334816137763,37.1167641521045,-122.331034578901,2,1,73.89827,92.10997,-2.67057553415235,-0.0064650044815139,0.0323720965341388
407514,2021-04-25 11:14:04,0.607280483047144,37.1167647789233,-122.33103572713,2,1,80.86462,89.67945,-2.72263426871813,-0.0396918190729633,0.0696203105497636
407515,2021-04-25 11:14:05,0.628941176593337,37.1167654054997,-122.33103687511,2,1,63.41832,91.01832,-2.8487895263841,0.124310841816426,0.151009342831493
407516,2021-04-25 11:14:06,0.62161331286201,37.116766034163,-122.331038024125,2,1,47.07086,93.17051,-2.77875985415504,-0.462153207898878,0.204127017994969
407517,2021-04-25 11:14:07,0.69143371626501,37.1167666629426,-122.331039173074,2,1,63.15414,106.138,-2.53041487283739,-0.318193153401927,0.0064702495833984
407518,2021-04-25 11:14:08,0.601311197229196,37.1167672916402,-122.331040322007,2,1,72.63838,75.64364,-2.44308179693862,-0.0655498697654881,-0.0041114855933343
407519,2021-04-25 11:14:09,0.641281990185977,37.1167679197302,-122.331041470705,2,1,82.9468,84.79737,-2.72701367933333,-0.0825352852482737,0.157000042522616
407520,2021-04-25 11:14:10,0.594972864190965,37.1167685470287,-122.331042618938,2,1,75.21668,86.82047,-2.84269270910496,-0.0596469213358154,0.175619344586953
407521,2021-04-25 11:14:11,0.615255498342409,37.1167691743211,-122.331043767279,2,1,110.1966,85.70728,-2.66196596555081,-0.0313236102067087,-0.0266398389724043
407522,2021-04-25 11:14:12,0.603306768199608,37.1167698021989,-122.331044915905,2,1,104.3073,79.62779,-2.70824115280082,-0.184301495266688,0.0007180848646509
407523,2021-04-25 11:14:13,0.620379804993832,37.1167704304519,-122.331046064634,2,1,73.17207,74.06172,2.80406910258226,0.393337779199763,0.0995926414196644
407524,2021-04-25 11:14:14,0.585841686807952,37.1167710526272,-122.331047205362,2,1,55.93327,130.3135,2.88588322370444,-0.222696284767939,0.154255546175871
407525,2021-04-25 11:14:15,0.612882879717556,37.1167716735797,-122.331048340422,2,1,83.73624,146.0215,2.3699109064412,0.0434473007232507,0.187899191876519
407526,2021-04-25 11:14:16,0.626604291532163,37.1167722944937,-122.331049474494,2,1,101.2499,82.08103,2.4349013731412,0.057420825609109,0.19919022745258
407527,2021-04-25 11:14:17,0.611520409983553,37.1167729154502,-122.331050608749,2,1,75.69897,84.44906,2.51322043672682,0.0137453150046021,0.0633108837008663
407528,2021-04-25 11:14:18,0.686728753710005,37.1167735364092,-122.331051742786,2,1,36.98338,85.34155,2.4875323079217,0.0077062082794387,0.0508833729469525
407529,2021-04-25 11:14:19,0.626293181933251,37.1167741573765,-122.331052876859,2,1,36.86419,87.51737,2.4263766282687,0.0727068785946764,0.0581327686649718
407530,2021-04-25 11:14:20,0.604637086870998,37.116774778397,-122.33105401045,2,1,36.6258,89.5939,2.48330393356315,0.129357964900769,0.0130052913097064
407531,2021-04-25 11:14:21,0.607848479857026,37.1167753994273,-122.331055144394,2,1,42.02914,89.12253,2.54764754925776,0.055256500861824,-0.0561187381454215
407532,2021-04-25 11:14:22,0.646057761704907,37.116776020463,-122.331056279908,2,1,62.28809,88.53196,2.50473771749513,0.146381060261726,0.0441354765367607
407533,2021-04-25 11:14:23,0.636994580234692,37.1167766417244,-122.331057417664,2,1,71.21685,87.16877,2.17498402074382,0.45336488224228,-0.116876935129438
407534,2021-04-25 11:14:24,0.619999847005419,37.1167772631464,-122.331058556167,2,1,73.7086,151.564,-3.14052854190938,-0.290324538811319,-0.12620830836766
407535,2021-04-25 11:14:25,0.650800700259997,37.1167778851247,-122.331059696668,2,1,67.82317,146.4915,2.81989303130413,0.0527553339341883,0.0036070688957445
407536,2021-04-25 11:14:26,0.595345160561312,37.1167785070539,-122.331060836815,2,1,82.73542,100.9617,2.90201253630673,-0.36814018477885,0.167918322331
407537,2021-04-25 11:14:27,0.64134594426495,37.1167791296204,-122.331061978538,2,1,92.44806,111.7139,-3.10742903030501,-0.434377457459741,0.232877765102179
407538,2021-04-25 11:14:28,0.655009888616925,37.1167797536747,-122.331063122921,2,1,65.70565,98.34228,-2.90191429987127,-0.54971254891875,0.0291973502140568
407539,2021-04-25 11:14:29,0.607237545299063,37.1167803773013,-122.331064266441,2,1,62.96843,193.3764,-2.71323330284221,0.0560382268517377,-0.205203343521537
407540,2021-04-25 11:14:30,0.600526697850302,37.1167809998748,-122.331065407621,2,1,63.39971,201.1261,-2.64055782843541,0.300900415698274,-0.118154854373903
407541,2021-04-25 11:14:31,0.614115391831807,37.1167816218911,-122.331066546845,2,1,65.50677,111.8607,2.05704115104543,0.370240222208359,0.019692643572304
407542,2021-04-25 11:14:32,0.634732507214964,37.1167822453743,-122.33106768946,2,1,87.10706,123.5952,-2.02220806368911,0.291908809395507,-0.1667844203564
407543,2021-04-25 11:14:33,0.61877039250609,37.1167828746297,-122.331068837726,2,1,62.12059,89.98412,-1.51992702838845,0.37986424692216,-0.28943848943596
407544,2021-04-25 11:14:34,0.650545299304227,37.1167835085515,-122.331069986876,2,1,61.38549,102.3615,-1.66055323338742,0.289541590569134,0.143842352301082
407545,2021-04-25 11:14:35,0.603826837092721,37.1167841423244,-122.331071135989,2,1,79.12679,88.81527,-2.36845939303769,-0.189181000290196,0.145663592322116
407546,2021-04-25 11:14:36,0.654338244179505,37.1167847740413,-122.331072285053,2,1,107.3433,97.14712,-2.61880871451927,-0.0982441305295817,0.247995265356487
407547,2021-04-25 11:14:37,0.617770946992013,37.1167854011876,-122.331073432133,2,1,86.28703,172.9768,-1.7281767600681,0.470792648711839,-0.283311426287655
407548,2021-04-25 11:14:38,0.68763684135543,37.1167860254098,-122.331074576261,2,1,70.6418,132.3203,-2.3594263355727,0.181944421859644,-0.229476568783331
407549,2021-04-25 11:14:39,0.629543518453948,37.1167866479583,-122.331075716899,2,1,87.70303,99.69896,2.83051472373523,0.23929978687884,-0.0335574281330824
407550,2021-04-25 11:14:40,0.613261693110455,37.1167872698485,-122.331076853785,2,1,117.0819,95.37614,0.734472472206404,0.36259781016235,-0.185521728457687
407551,2021-04-25 11:14:41,0.608895761458189,37.1167878914198,-122.331077988644,2,1,95.11862,98.93458,1.61513659815129,0.554902080150467,0.0588679213109914
