Seconds,R_Time,Depth,Lat,Long,Resp_Num,Sleep_Num,Stroke_Rate,Heart_Rate,heading,pitch,roll
352618,2021-04-09 11:31:46,-1.12352529647901,37.1165571967886,-122.323321252345,2,1,0.5631641,82.16906,0.197113713145778,-0.0476248350110808,0.328078408918053
352619,2021-04-09 11:31:47,-1.15593427312236,37.1165570739481,-122.323321135912,2,1,0.5631641,81.34286,0.195164933347894,-0.0684555352254789,0.33702324817036
352620,2021-04-09 11:31:48,-1.13297474344133,37.1165569511076,-122.323321019479,2,1,0.5631641,81.902,0.213721092834345,-0.076785266964934,0.338440970817626
352621,2021-04-09 11:31:49,-1.16059901862864,37.1165568282671,-122.323320903046,2,1,0.5631641,83.51451,0.217898450850261,-0.05188165612479,0.345518223217526
352622,2021-04-09 11:31:50,-1.1302205886425,37.1165567054266,-122.323320786613,2,1,0.5631641,83.02297,0.194476504204443,-0.0535412150864745,0.330960692040872
352623,2021-04-09 11:31:51,-1.20673227252938,37.1165565825861,-122.32332067018,2,1,0.5631641,81.94173,0.200433034724946,-0.0578261089829999,0.33297239436505
352624,2021-04-09 11:31:52,-1.17183711470405,37.1165564597456,-122.323320553747,2,1,0.5631641,81.38891,0.216905376761935,-0.0693997005910458,0.335252230221336
352625,2021-04-09 11:31:53,-1.14943575324684,37.1165563369051,-122.323320437314,2,1,0.5631641,82.1916,0.229088761419812,-0.0729010981540054,0.339081621007239
352626,2021-04-09 11:31:54,-1.12836100051405,37.1165562140646,-122.323320320881,2,1,0.5631641,82.91704,0.227033192392418,-0.0414158292681994,0.348202770066368
352627,2021-04-09 11:31:55,-1.14533551963269,37.1165560912241,-122.323320204448,2,1,0.5631641,82.05004,0.180174232716421,-0.0716129235852125,0.303978613104782
352628,2021-04-09 11:31:56,-1.12387890540666,37.1165559683836,-122.323320088015,2,1,0.5631641,80.51997,0.236937172681857,-0.0640856209719442,0.349750107291988
352629,2021-04-09 11:31:57,-1.15623674739469,37.1165558455431,-122.323319971582,2,1,0.5631641,80.33733,0.213223156590129,-0.0730779345085677,0.336193801920031
352630,2021-04-09 11:31:58,-1.1544289793758,37.1165557227026,-122.323319855149,2,1,0.5631641,81.46016,0.22923816279982,-0.0572249057536236,0.351329204205698
